epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4833,1.1479,2.69021,1.46288,0.64391,0.59671,0.67659,0.46641,1.00543,3.27319,1.38665,0.000359752,0.000359752,0.000359752
2,24.9788,1.06808,1.56996,1.37882,0.28627,0.579,0.34801,0.20515,1.3159,3.99949,1.66888,0.000705993,0.000705993,0.000705993
3,35.7119,1.11279,1.39258,1.40416,0.35572,0.48214,0.37581,0.18636,1.52992,2.80624,2.19804,0.00102779,0.00102779,0.00102779
4,47.3096,1.17157,1.30207,1.43104,0.54267,0.58899,0.58575,0.32744,1.45672,1.90783,1.80583,0.00100101,0.00100101,0.00100101
5,58.9116,1.11124,1.2261,1.40286,0.53201,0.61667,0.59002,0.36032,1.34777,2.39673,1.77147,0.000964348,0.000964348,0.000964348
6,70.6482,1.05113,1.09,1.33972,0.49843,0.70037,0.6627,0.42783,1.20217,2.15481,1.58324,0.000927685,0.000927685,0.000927685
7,81.8555,1.04234,1.10402,1.35747,0.84786,0.74627,0.83828,0.61664,1.10681,1.13972,1.53254,0.000891022,0.000891022,0.000891022
8,95.9319,1.03628,1.04842,1.34511,0.79864,0.77319,0.83719,0.61157,1.01554,1.38465,1.38798,0.000854359,0.000854359,0.000854359
9,106.817,1.006,1.01391,1.33844,0.73543,0.81125,0.85894,0.629,1.06464,1.13706,1.4281,0.000817696,0.000817696,0.000817696
10,118.152,0.9634,0.95946,1.309,0.86469,0.80121,0.87461,0.63313,1.02249,1.15524,1.41375,0.000781033,0.000781033,0.000781033
11,130.491,0.89976,0.90167,1.27048,0.7901,0.75702,0.84101,0.62704,0.98527,1.17792,1.36047,0.00074437,0.00074437,0.00074437
12,144.199,0.90431,0.92887,1.27534,0.81728,0.77623,0.8414,0.64202,0.96699,1.09067,1.32741,0.000707707,0.000707707,0.000707707
13,156.313,0.83785,0.84769,1.21895,0.8679,0.87207,0.90958,0.68931,0.96482,0.92994,1.33657,0.000671044,0.000671044,0.000671044
14,168.352,0.86849,0.83291,1.24982,0.92481,0.80444,0.89124,0.68981,0.9635,0.952,1.32943,0.000634381,0.000634381,0.000634381
15,179.863,0.86493,0.85614,1.25785,0.87985,0.78223,0.87308,0.6667,0.93196,0.90195,1.30055,0.000597718,0.000597718,0.000597718
16,191.078,0.83643,0.80627,1.21047,0.92546,0.86077,0.91508,0.70481,0.90318,0.8361,1.2854,0.000561055,0.000561055,0.000561055
17,202.12,0.81242,0.76169,1.20391,0.8932,0.85835,0.8962,0.7036,0.93738,0.79176,1.30741,0.000524392,0.000524392,0.000524392
18,213.529,0.78477,0.73734,1.18528,0.87687,0.9086,0.94489,0.74811,0.81545,0.76285,1.20818,0.000487729,0.000487729,0.000487729
19,225.358,0.78493,0.72381,1.2226,0.94447,0.85434,0.92692,0.74986,0.78808,0.70557,1.1625,0.000451066,0.000451066,0.000451066
20,237.537,0.753,0.69875,1.16749,0.93614,0.86854,0.94109,0.78343,0.75057,0.69396,1.14771,0.000414403,0.000414403,0.000414403
21,251.609,0.6747,0.65426,1.14102,0.87939,0.90363,0.93502,0.7698,0.78949,0.68417,1.17958,0.00037774,0.00037774,0.00037774
22,262.677,0.63863,0.58252,1.09906,0.92756,0.86248,0.91736,0.74729,0.83195,0.71808,1.21982,0.000341077,0.000341077,0.000341077
23,272.562,0.60061,0.55091,1.1018,0.87665,0.90291,0.9291,0.76711,0.80098,0.71826,1.18473,0.000304414,0.000304414,0.000304414
24,283.108,0.60397,0.52268,1.07774,0.93882,0.89433,0.95189,0.78103,0.74461,0.64249,1.13143,0.000267751,0.000267751,0.000267751
25,293.872,0.56911,0.50275,1.07078,0.94384,0.88215,0.94516,0.78462,0.7408,0.63079,1.14066,0.000231088,0.000231088,0.000231088
26,304.784,0.55714,0.46058,1.05637,0.94413,0.88639,0.93901,0.77651,0.75008,0.61806,1.15083,0.000194425,0.000194425,0.000194425
27,314.953,0.5258,0.44796,1.02697,0.9296,0.90186,0.95023,0.80166,0.72679,0.61416,1.12728,0.000157762,0.000157762,0.000157762
28,325.575,0.52094,0.4363,1.02906,0.94766,0.89106,0.95031,0.80704,0.7218,0.59888,1.11747,0.000121099,0.000121099,0.000121099
29,336.573,0.50606,0.41954,1.01814,0.9499,0.88346,0.94276,0.81032,0.70565,0.60754,1.09461,8.4436e-05,8.4436e-05,8.4436e-05
30,347.341,0.48478,0.39996,0.99598,0.94713,0.88961,0.94147,0.80614,0.69969,0.59842,1.09566,4.7773e-05,4.7773e-05,4.7773e-05
